model_name,architecture,n_instances,mean_entropy,mean_accuracy,top_q_mean_H,bot_q_mean_H,wilcoxon_stat,wilcoxon_p,rank_biserial_r,meets_rb_threshold,spearman_rho,spearman_p,dissociation_confirmed,wilcoxon_p_bh,wilcoxon_sig,fisher_z_rho_pooled,fisher_z_ci_low,fisher_z_ci_high
BERT-base,encoder,547,0.14120567725925195,0.029163402106729346,0.14120567725925195,0.1419723650294677,24184.0,0.595371847012904,0.01573024561974723,False,-0.018420883771186385,0.6672835764726532,True,0.02375374584640076,True,0.030351024645859773,-0.003946492136424461,0.06457721920122392
BioBERT,encoder,547,0.13148014958412055,0.05851179594324018,0.13148014958412055,0.13321886257593976,19756.0,0.5966641322454889,0.016772010152789507,False,-0.0432172652196576,0.31301015108202973,True,0.6893433757110266,False,0.030351024645859773,-0.003946492136424461,0.06457721920122392
PubMedBERT,encoder,547,0.11623268732539142,0.02940280316879951,0.11623268732539142,0.11499791544926023,20756.5,0.4329897389065853,0.011500694427523661,False,0.021361000112710384,0.618127615658423,True,0.02375374584640076,True,0.030351024645859773,-0.003946492136424461,0.06457721920122392
BioMistral-7B,generative,547,0.5987015763610616,0.476691042047532,0.6058458489348091,0.5550758060658585,8874.0,0.003958957641066793,0.23550295857988168,False,0.14157702621504772,0.0008989741077168639,True,0.02375374584640076,True,0.030351024645859773,-0.003946492136424461,0.06457721920122392
FLAN-T5-XXL,generative,547,0.23514700036170566,0.13303517019239142,0.23514700036170566,0.22428131665998627,34512.0,0.22978112523700883,0.044773408409772064,False,0.06662759902483734,0.1196002930772015,True,0.02375374584640076,True,0.030351024645859773,-0.003946492136424461,0.06457721920122392
FLAN-T5-base,generative,547,0.25342257453195755,0.11854487681727169,0.25342257453195755,0.24790870390747305,32832.0,0.29283300244112764,0.03333018600698712,False,0.013203300592836094,0.7580015029972398,True,0.02375374584640076,True,0.030351024645859773,-0.003946492136424461,0.06457721920122392
