dataset,biomedical_model,general_model,pair,mean_H_bio,mean_H_gen,mwu_U,mwu_p,rank_biserial_r,meets_rb_threshold,boot_ci_low,boot_ci_high,n_bio,n_gen,mwu_p_bh,mwu_sig
MedMentions,BioBERT,BERT-base,BioBERT vs BERT-base,0.13148014958412052,0.1412056772592519,147055.0,0.28335172617274795,0.017041599684501474,False,-0.032120083031197934,0.011879628833229133,547,547,1.0,False
MedMentions,BioMistral-7B,FLAN-T5-XXL,BioMistral-7B vs FLAN-T5-XXL,0.5987015763610616,0.23514700036170558,268651.0,1.0,-0.7957414382588759,True,0.33990240772025565,0.38602849824868163,547,547,1.0,False
BioASQ,BioBERT,BERT-base,BioBERT vs BERT-base,0.30726486984344514,0.30726486984344514,7320.5,0.5003909434292563,0.0,False,-0.06827614671698488,0.06337671170927338,121,121,1.0,False
BioASQ,BioMistral-7B,FLAN-T5-XXL,BioMistral-7B vs FLAN-T5-XXL,0.2978178373451853,0.21017916538064765,8814.5,0.9984002144586802,-0.20408442046308317,False,0.028697502097185842,0.1502777180904747,121,121,1.0,False
SQuAD,BioBERT,BERT-base,BioBERT vs BERT-base,0.4825869409231923,0.4825869409231923,6962.0,0.5004035900292214,0.0,False,-0.04623282932733714,0.03984681638683425,118,118,1.0,False
SQuAD,BioMistral-7B,FLAN-T5-XXL,BioMistral-7B vs FLAN-T5-XXL,0.47588856979666894,0.2460984888359557,10973.0,0.9999999999999982,-0.5761275495547256,True,0.17890354186215654,0.2816068192429409,118,118,1.0,False
